ticket_id,created_at,resolved_at,status,priority,category,channel,sla_target_hours,customer_id,agent_id,branch_code
T00001,2024-05-31 08:23:00,2024-06-01 10:54:54,Resolved,Low,Payments,Chat,72,C14565,A020,SA-RAF
T00002,2024-09-29 14:43:00,2024-09-30 02:05:08,Resolved,High,Account,Email,24,C13883,A043,ME-MEN
T00003,2025-01-22 19:56:00,2025-01-23 11:54:41,Resolved,Low,Payments,Chat,72,C12912,A025,CÓ-RÍO
T00004,2025-06-30 00:31:00,2025-06-30 05:49:29,Resolved,High,Other,Email,24,C13569,A026,SA-ROS
T00005,2024-05-06 10:43:00,,Open,High,Payments,Chat,24,C13370,A035,LA-ASU
T00006,2025-06-08 15:51:00,,Open,Medium,Other,Chat,48,C12025,A039,TU-YER
T00007,2024-07-09 00:58:00,2024-07-09 13:07:17,Resolved,Medium,Login,Email,48,C10559,A020,SA-RAF
T00008,2025-07-03 09:32:00,2025-07-03 19:44:18,Resolved,Medium,Returns,Email,48,C14703,A056,AM-GBA
T00009,2025-03-20 12:11:00,2025-03-21 18:37:11,Resolved,Medium,Delivery,Chat,48,C11743,A025,CÓ-RÍO
T00010,2024-05-11 11:47:00,2024-05-12 18:04:19,Resolved,Low,Tech Issue,Email,72,C10018,A051,TU-YER
T00011,2024-01-02 04:32:00,,Open,Medium,Delivery,Email,48,C14590,A003,CÓ-VIL
T00012,2024-01-24 06:15:00,2024-01-24 20:16:00,Resolved,Medium,Login,Email,48,C13599,A060,AM-GBA
T00013,2024-07-15 05:35:00,2024-07-15 17:29:41,Resolved,Low,Tech Issue,Chat,72,C12823,A006,AM-CAB
T00014,2024-06-03 18:08:00,2024-06-04 02:17:10,Resolved,High,Delivery,Email,24,C12491,A059,SA-SAN
T00015,2025-06-24 10:53:00,2025-06-25 04:03:58,Resolved,High,Login,Chat,24,C10969,A013,LA-ASU
T00016,2024-02-06 13:19:00,2024-02-07 03:40:28,Resolved,Low,Account,Chat,72,C14930,A012,AM-GBA
T00017,2024-03-14 01:43:00,2024-03-15 00:25:57,Resolved,Medium,Payments,Phone,48,C11359,A010,ME-SAN
T00018,2024-06-05 23:24:00,2024-06-06 11:47:11,Resolved,Low,Payments,Phone,72,C11562,A031,LA-MON
T00019,2025-09-05 12:02:00,2025-09-05 15:55:42,Resolved,High,Payments,Chat,24,C13144,A038,CÓ-VIL
T00020,2024-02-03 01:56:00,2024-02-03 18:03:19,Resolved,Low,Delivery,Email,72,C14210,A047,AM-GBA
T00021,2024-10-26 00:59:00,2024-10-26 10:12:37,Resolved,Low,Payments,Chat,72,C13979,A023,AM-GBA
T00022,2025-04-02 02:17:00,2025-04-03 08:09:03,Resolved,Medium,Delivery,Phone,48,C10144,A056,AM-GBA
T00023,2025-05-09 04:28:00,,Open,Low,Payments,Phone,72,C13100,A014,LA-MON
T00024,2024-09-24 13:38:00,,Open,High,Delivery,Chat,24,C14261,A029,LA-ASU
T00025,2025-03-03 06:54:00,2025-03-03 09:28:57,Resolved,Medium,Tech Issue,Phone,48,C11798,A049,LA-MON
T00026,2024-03-10 19:14:00,2024-03-11 13:14:20,Resolved,High,Delivery,Email,24,C13420,A035,LA-ASU
T00027,2025-09-07 06:14:00,,Open,Low,Delivery,Chat,72,C12339,A029,LA-ASU
T00028,2024-10-13 22:10:00,2024-10-14 01:52:08,Resolved,Medium,Returns,Email,48,C14857,A030,CÓ-CÓR
T00029,2025-03-30 20:21:00,2025-03-31 01:08:17,Resolved,Urgent,Returns,Chat,8,C14045,A003,CÓ-VIL
T00030,2024-06-03 10:53:00,2024-06-04 08:57:21,Resolved,High,Delivery,Chat,24,C14576,A013,LA-ASU
T00031,2024-09-12 12:02:00,2024-09-13 04:16:01,Resolved,Medium,Other,Chat,48,C10499,A023,AM-GBA
T00032,2025-09-28 04:19:00,2025-09-28 22:27:32,Resolved,Medium,Tech Issue,App,48,C12833,A050,ME-MEN
T00033,2024-08-19 21:27:00,2024-08-20 08:26:45,Resolved,Medium,Payments,Phone,48,C13301,A010,ME-SAN
T00034,2025-06-12 11:37:00,2025-06-12 19:08:09,Resolved,Low,Returns,Email,72,C13896,A003,CÓ-VIL
T00035,2024-12-04 08:56:00,2024-12-04 21:57:10,Resolved,Medium,Tech Issue,Email,48,C11891,A012,AM-GBA
T00036,2024-08-22 11:59:00,2024-08-22 23:42:45,Resolved,High,Tech Issue,Email,24,C10005,A044,ME-SAN
T00037,2024-09-07 03:22:00,2024-09-08 02:19:46,Resolved,Low,Delivery,Chat,72,C12793,A029,LA-ASU
T00038,2024-02-08 12:56:00,2024-02-09 04:00:00,Resolved,Low,Account,Email,72,C14616,A004,ME-SAN
T00039,2025-02-07 04:47:00,2025-02-07 11:07:56,Resolved,High,Tech Issue,Chat,24,C12313,A057,LA-MON
T00040,2025-09-16 01:04:00,2025-09-16 18:17:13,Resolved,Medium,Payments,Phone,48,C10050,A060,AM-GBA
T00041,2024-12-22 03:10:00,2024-12-22 06:31:21,Resolved,Medium,Tech Issue,Chat,48,C14576,A022,LA-MON
T00042,2024-09-13 08:31:00,2024-09-13 17:57:27,Resolved,Medium,Delivery,Chat,48,C14028,A042,ME-MEN
T00043,2024-08-30 12:49:00,2024-09-02 09:32:04,Resolved,Low,Payments,Chat,72,C11934,A041,ME-SAN
T00044,2025-06-25 18:23:00,2025-06-25 21:28:38,Resolved,High,Payments,Phone,24,C12884,A045,LA-ASU
T00045,2024-11-12 06:33:00,2024-11-12 12:09:46,Resolved,High,Account,Email,24,C10310,A033,CÓ-RÍO
T00046,2024-02-03 15:10:00,2024-02-04 02:47:56,Resolved,Medium,Other,Email,48,C13871,A054,LA-MON
T00047,2024-06-27 22:24:00,2024-06-28 20:02:09,Resolved,Low,Account,Chat,72,C14895,A039,TU-YER
T00048,2024-07-04 19:19:00,,Open,Low,Account,Email,72,C12210,A059,SA-SAN
T00049,2024-03-17 10:13:00,2024-03-18 00:13:20,Resolved,Medium,Delivery,Phone,48,C11266,A020,SA-RAF
T00050,2024-07-22 19:56:00,,Open,Medium,Delivery,Email,48,C13290,A003,CÓ-VIL
T00051,2025-05-30 01:40:00,2025-05-30 14:39:25,Resolved,Medium,Other,Chat,48,C14259,A040,AM-CAB
T00052,2025-06-13 21:16:00,2025-06-14 04:33:32,Resolved,High,Payments,Email,24,C11880,A037,AM-GBA
T00053,2024-09-05 01:42:00,2024-09-05 13:29:40,Resolved,Low,Login,Phone,72,C14145,A034,TU-SAN
T00054,2024-06-18 10:51:00,2024-06-19 10:59:00,Resolved,Low,Other,Chat,72,C11996,A011,SA-RAF
T00055,2024-09-18 13:14:00,2024-09-18 17:21:05,Resolved,High,Returns,Email,24,C13587,A050,ME-MEN
T00056,2024-03-15 07:25:00,2024-03-16 01:58:58,Resolved,Medium,Delivery,Chat,48,C12256,A008,TU-YER
T00057,2024-09-05 03:37:00,2024-09-05 13:40:16,Resolved,Medium,Tech Issue,Phone,48,C11878,A034,TU-SAN
T00058,2025-02-05 09:47:00,2025-02-05 20:17:16,Resolved,Medium,Tech Issue,Chat,48,C13876,A055,ME-GOD
T00059,2024-02-07 20:09:00,,Open,Medium,Delivery,Phone,48,C11300,A021,LA-LIM
T00060,2024-02-06 23:32:00,2024-02-07 13:24:51,Resolved,Low,Tech Issue,Email,72,C10038,A038,CÓ-VIL
T00061,2025-04-12 01:31:00,2025-04-13 17:14:30,Resolved,Medium,Payments,Email,48,C10642,A003,CÓ-VIL
T00062,2024-07-24 18:12:00,2024-07-26 02:02:08,Resolved,Medium,Delivery,Chat,48,C14475,A042,ME-MEN
T00063,2025-07-30 09:29:00,2025-08-01 04:49:53,Resolved,Low,Returns,Phone,72,C12133,A060,AM-GBA
T00064,2024-02-12 04:40:00,2024-02-12 23:16:18,Resolved,Low,Payments,Phone,72,C12980,A044,ME-SAN
T00065,2024-11-11 02:31:00,2024-11-11 06:28:41,Resolved,High,Delivery,Email,24,C11369,A022,LA-MON
T00066,2025-07-16 01:43:00,2025-07-16 07:00:09,Resolved,High,Payments,Email,24,C13661,A034,TU-SAN
T00067,2025-04-18 10:51:00,2025-04-18 16:34:56,Resolved,Medium,Tech Issue,Chat,48,C11518,A029,LA-ASU
T00068,2024-05-11 07:17:00,2024-05-12 03:45:05,Resolved,Medium,Delivery,Chat,48,C11633,A044,ME-SAN
T00069,2025-04-09 07:13:00,2025-04-09 15:59:59,Resolved,Medium,Payments,Chat,48,C11020,A051,TU-YER
T00070,2024-02-19 17:13:00,2024-02-19 22:56:01,Resolved,Medium,Tech Issue,Phone,48,C13740,A044,ME-SAN
T00071,2024-09-25 18:32:00,2024-09-26 02:45:25,Resolved,High,Delivery,Chat,24,C11149,A024,SA-ROS
T00072,2024-08-31 04:47:00,2024-08-31 19:40:38,Resolved,High,Payments,Chat,24,C12932,A040,AM-CAB
T00073,2024-02-11 12:45:00,2024-02-12 05:29:38,Resolved,Low,Login,Email,72,C13463,A014,LA-MON
T00074,2024-07-18 07:33:00,2024-07-18 17:38:24,Resolved,Medium,Payments,Chat,48,C14687,A052,SA-ROS
T00075,2024-09-07 13:08:00,2024-09-07 20:27:37,Resolved,Medium,Other,Email,48,C10967,A002,CÓ-VIL
T00076,2024-05-16 07:37:00,2024-05-16 17:40:16,Resolved,High,Delivery,Chat,24,C10478,A026,SA-ROS
T00077,2024-10-23 07:46:00,2024-10-23 19:53:51,Resolved,Low,Login,Email,72,C12690,A021,LA-LIM
T00078,2024-03-29 18:55:00,,Open,Low,Payments,Chat,72,C10297,A022,LA-MON
T00079,2025-06-03 19:26:00,2025-06-04 09:06:59,Resolved,High,Delivery,Email,24,C10175,A059,SA-SAN
T00080,2024-05-15 09:46:00,2024-05-15 14:45:32,Resolved,Medium,Payments,Phone,48,C12848,A039,TU-YER
T00081,2024-07-10 06:39:00,2024-07-10 08:34:49,Resolved,High,Delivery,Email,24,C14181,A004,ME-SAN
T00082,2024-09-28 18:55:00,2024-09-29 06:53:46,Resolved,Low,Payments,Chat,72,C12664,A047,AM-GBA
T00083,2025-09-23 04:18:00,2025-09-24 00:49:48,Resolved,Low,Payments,Chat,72,C13719,A020,SA-RAF
T00084,2024-03-31 09:53:00,2024-04-02 02:31:12,Resolved,Low,Other,Phone,72,C11194,A002,CÓ-VIL
T00085,2024-07-07 17:25:00,2024-07-08 02:43:37,Resolved,High,Payments,Phone,24,C13749,A055,ME-GOD
T00086,2024-02-02 17:29:00,2024-02-03 09:54:39,Resolved,High,Payments,Email,24,C14273,A014,LA-MON
T00087,2024-07-27 13:04:00,2024-07-28 01:22:10,Resolved,Medium,Payments,Email,48,C10352,A056,AM-GBA
T00088,2024-01-13 06:07:00,2024-01-13 09:09:11,Resolved,Urgent,Tech Issue,Chat,8,C11570,A046,SA-RAF
T00089,2025-03-17 13:13:00,2025-03-17 18:02:06,Resolved,High,Login,Phone,24,C13603,A009,ME-MEN
T00090,2024-06-09 12:57:00,2024-06-09 21:32:06,Resolved,High,Payments,Email,24,C10923,A043,ME-MEN
T00091,2025-01-20 23:08:00,2025-01-21 19:24:56,Resolved,Low,Tech Issue,Email,72,C11243,A052,SA-ROS
T00092,2025-02-03 18:45:00,2025-02-04 06:39:39,Resolved,Medium,Tech Issue,Email,48,C13393,A019,ME-SAN
T00093,2024-05-03 03:59:00,,Open,Low,Delivery,Phone,72,C12914,A039,TU-YER
T00094,2025-02-07 08:04:00,2025-02-07 16:06:01,Resolved,Low,Returns,Phone,72,C14049,A058,AM-CAB
T00095,2024-03-14 15:15:00,2024-03-14 22:58:44,Resolved,High,Tech Issue,Email,24,C13851,A057,LA-MON
T00096,2024-10-06 23:32:00,2024-10-08 07:19:33,Resolved,Low,Tech Issue,Chat,72,C11560,A015,AM-GBA
T00097,2024-12-28 03:35:00,2024-12-28 12:00:44,Resolved,Medium,Returns,App,48,C13316,A019,ME-SAN
T00098,2024-11-06 14:00:00,2024-11-07 14:35:27,Resolved,Low,Login,Email,72,C12186,A056,AM-GBA
T00099,2024-08-24 03:46:00,2024-08-24 10:26:26,Resolved,Medium,Login,Chat,48,C14311,A025,CÓ-RÍO
T00100,2025-07-21 17:35:00,2025-07-23 15:41:50,Resolved,Low,Payments,Email,72,C12963,A043,ME-MEN
T00101,2024-03-20 06:45:00,2024-03-22 00:07:38,Resolved,Low,Login,Chat,72,C14700,A005,SA-SAN
T00102,2025-06-22 03:14:00,2025-06-22 11:34:38,Resolved,Medium,Login,Phone,48,C10856,A028,SA-SAN
T00103,2024-05-22 14:40:00,2024-05-22 18:31:47,Resolved,Medium,Other,Phone,48,C14447,A039,TU-YER
T00104,2024-03-17 19:01:00,2024-03-18 00:40:31,Resolved,Low,Returns,Chat,72,C13696,A051,TU-YER
T00105,2024-05-11 12:06:00,2024-05-12 15:31:36,Resolved,Medium,Tech Issue,Phone,48,C13873,A021,LA-LIM
T00106,2024-06-18 06:04:00,2024-06-18 11:38:51,Resolved,High,Payments,App,24,C11426,A024,SA-ROS
T00107,2024-01-27 15:42:00,2024-01-28 03:41:28,Resolved,Medium,Returns,Chat,48,C13402,A014,LA-MON
T00108,2024-09-09 03:12:00,2024-09-10 08:54:52,Resolved,Medium,Login,Phone,48,C10505,A006,AM-CAB
T00109,2025-01-14 09:11:00,2025-01-14 19:25:21,Resolved,Medium,Delivery,Phone,48,C13630,A011,SA-RAF
T00110,2025-05-09 03:18:00,2025-05-09 17:54:01,Resolved,High,Account,Email,24,C14926,A019,ME-SAN
T00111,2024-11-27 02:13:00,2024-11-28 12:46:11,Resolved,Low,Payments,Email,72,C12696,A040,AM-CAB
T00112,2024-05-03 14:31:00,2024-05-05 04:29:12,Resolved,Low,Tech Issue,Chat,72,C13578,A023,AM-GBA
T00113,2024-02-15 07:38:00,2024-02-15 23:06:01,Resolved,Medium,Delivery,Email,48,C10146,A013,LA-ASU
T00114,2025-04-12 12:51:00,2025-04-12 23:36:42,Resolved,Low,Login,Phone,72,C12112,A009,ME-MEN
T00115,2024-05-12 06:44:00,2024-05-13 01:26:56,Resolved,Low,Other,Email,72,C10199,A029,LA-ASU
T00116,2024-02-13 03:32:00,2024-02-13 08:26:27,Resolved,High,Payments,Chat,24,C14163,A050,ME-MEN
T00117,2024-07-26 08:52:00,2024-07-26 22:51:30,Resolved,High,Delivery,App,24,C13216,A003,CÓ-VIL
T00118,2024-02-08 20:40:00,2024-02-09 09:19:27,Resolved,Medium,Delivery,Email,48,C12210,A018,TU-YER
T00119,2024-04-18 15:14:00,,Open,High,Login,Email,24,C10353,A025,CÓ-RÍO
T00120,2024-01-23 09:17:00,2024-01-23 16:33:50,Resolved,Low,Delivery,Email,72,C10976,A030,CÓ-CÓR
T00121,2025-09-12 05:59:00,2025-09-12 14:59:52,Resolved,Low,Tech Issue,Email,72,C13786,A013,LA-ASU
T00122,2025-08-02 16:05:00,2025-08-03 07:01:34,Resolved,Medium,Delivery,Email,48,C12286,A010,ME-SAN
T00123,2025-09-04 10:32:00,2025-09-04 21:30:23,Resolved,Medium,Tech Issue,Chat,48,C12033,A029,LA-ASU
T00124,2025-07-29 22:55:00,2025-07-30 20:08:23,Resolved,High,Tech Issue,Email,24,C14700,A056,AM-GBA
T00125,2025-08-16 14:30:00,,Open,Low,Account,Chat,72,C12361,A015,AM-GBA
T00126,2025-01-24 14:05:00,2025-01-24 20:21:03,Resolved,Low,Payments,Email,72,C11433,A032,AM-CAB
T00127,2025-04-08 04:53:00,2025-04-09 07:57:42,Resolved,Medium,Payments,Chat,48,C13660,A018,TU-YER
T00128,2024-11-28 18:44:00,2024-11-29 11:31:18,Resolved,Urgent,Payments,Email,8,C12300,A025,CÓ-RÍO
T00129,2024-07-27 20:29:00,2024-07-28 04:43:12,Resolved,Medium,Other,Phone,48,C14219,A010,ME-SAN
T00130,2025-06-10 09:39:00,2025-06-11 06:39:15,Resolved,Low,Login,Email,72,C10574,A002,CÓ-VIL
T00131,2025-05-16 12:28:00,2025-05-16 20:24:26,Resolved,High,Payments,Chat,24,C10574,A014,LA-MON
T00132,2024-03-03 11:50:00,2024-03-03 23:53:43,Resolved,Low,Account,Chat,72,C11937,A015,AM-GBA
T00133,2024-05-14 19:57:00,2024-05-16 00:55:55,Resolved,Low,Tech Issue,Chat,72,C14479,A018,TU-YER
T00134,2024-09-17 13:22:00,2024-09-18 14:16:03,Resolved,Medium,Login,Email,48,C12324,A038,CÓ-VIL
T00135,2025-02-25 18:20:00,2025-02-26 19:53:31,Resolved,Low,Login,Email,72,C11215,A058,AM-CAB
T00136,2024-08-16 06:36:00,2024-08-17 10:39:20,Resolved,Medium,Delivery,Chat,48,C10097,A030,CÓ-CÓR
T00137,2024-11-07 12:03:00,2024-11-09 03:19:21,Resolved,Medium,Login,Chat,48,C14187,A040,AM-CAB
T00138,2025-09-25 14:18:00,2025-09-26 03:33:02,Resolved,Medium,Payments,Email,48,C14026,A024,SA-ROS
T00139,2024-07-02 15:20:00,2024-07-03 14:03:16,Resolved,Low,Payments,Phone,72,C14767,A005,SA-SAN
T00140,2025-05-12 04:32:00,2025-05-12 20:51:30,Resolved,Medium,Tech Issue,App,48,C14136,A029,LA-ASU
T00141,2024-11-22 02:24:00,,Open,Urgent,Payments,Phone,8,C12096,A009,ME-MEN
T00142,2025-09-26 08:22:00,,Open,Low,Payments,Chat,72,C13902,A011,SA-RAF
T00143,2025-04-26 15:49:00,2025-04-26 23:38:36,Resolved,High,Login,Phone,24,C12634,A038,CÓ-VIL
T00144,2024-10-01 14:48:00,2024-10-01 23:00:42,Resolved,Medium,Login,Email,48,C14062,A019,ME-SAN
T00145,2025-06-27 15:46:00,2025-06-28 01:19:55,Resolved,High,Payments,Email,24,C12538,A040,AM-CAB
T00146,2025-04-17 01:23:00,2025-04-17 08:05:58,Resolved,Low,Returns,Phone,72,C11336,A016,LA-ASU
T00147,2025-06-18 02:02:00,2025-06-18 07:41:51,Resolved,High,Payments,Chat,24,C14735,A030,CÓ-CÓR
